sample_id,station_id,station_name,station_type,sample_date,depth1,depth2,parameter,status,loq,value,units
121326,40373,Tanaelva,Elv,2020-08-10,0.0,0.0,"Indeno[1,2,3-cd]pyren",Authorised,,0.1,NG_P_L
121326,40373,Tanaelva,Elv,2020-08-10,0.0,0.0,Benzo[a]pyren,Authorised,,0.2,NG_P_L
121326,40373,Tanaelva,Elv,2020-08-10,0.0,0.0,Benzo[k]fluoranten,Authorised,,0.2,NG_P_L
121326,40373,Tanaelva,Elv,2020-08-10,0.0,0.0,"Benzo[b,j]fluoranten",Authorised,,0.2,NG_P_L
121326,40373,Tanaelva,Elv,2020-08-10,0.0,0.0,Chrysen,Authorised,,0.2,NG_P_L
121326,40373,Tanaelva,Elv,2020-08-10,0.0,0.0,Benzo[a]antracen,Authorised,,0.2,NG_P_L
121326,40373,Tanaelva,Elv,2020-08-10,0.0,0.0,Pyren,Authorised,,0.2,NG_P_L
121326,40373,Tanaelva,Elv,2020-08-10,0.0,0.0,Fluoranten,Authorised,,0.1,NG_P_L
121326,40373,Tanaelva,Elv,2020-08-10,0.0,0.0,Antracen,Authorised,,0.2,NG_P_L
121326,40373,Tanaelva,Elv,2020-08-10,0.0,0.0,Fenantren,Authorised,,0.5,NG_P_L
121326,40373,Tanaelva,Elv,2020-08-10,0.0,0.0,Fluoren,Authorised,,0.1,NG_P_L
121326,40373,Tanaelva,Elv,2020-08-10,0.0,0.0,Acenaften,Authorised,,1.0,NG_P_L
121326,40373,Tanaelva,Elv,2020-08-10,0.0,0.0,Acenaftylen,Authorised,,0.2,NG_P_L
121326,40373,Tanaelva,Elv,2020-08-10,0.0,0.0,Naftalen,Authorised,,2.0,NG_P_L
121326,40373,Tanaelva,Elv,2020-08-10,0.0,0.0,DEHP,Canceled,,5.8,NG_P_L
121326,40373,Tanaelva,Elv,2020-08-10,0.0,0.0,Klorfenvinfos,Canceled,,0.4,NG_P_L
121327,40372,Pasvikelva,Elv,2020-08-03,0.0,0.0,BDE154,Authorised,,0.02,NG_P_L
121327,40372,Pasvikelva,Elv,2020-08-03,0.0,0.0,BDE153,Authorised,,0.02,NG_P_L
121327,40372,Pasvikelva,Elv,2020-08-03,0.0,0.0,BDE100,Authorised,,0.02,NG_P_L
121327,40372,Pasvikelva,Elv,2020-08-03,0.0,0.0,BDE99,Authorised,,0.02,NG_P_L
