"lw_meth";"lw_unit";"am_par";"am_unit";"lw2am_fac"
"Alkalitet";"mmol/l";"Alk";"mmol/l";1
"Alkalitet";"mmol/l";"Alk";"mmol/l";1
"Alkalitet";"mmol/l";"Alk";"mmol/l";1
"Alkalitet";"MMOLE_P_L";"Alk_4.5";"mmol/l";1
"Alkalitet";"mmol/l";"Alk";"mmol/l";1
"Alkalitet";"mmol/l";"Alk";"mmol/l";1
"Alkalitet";"mmol/l";"Alk";"mmol/l";1
"Alkalitet";"MMOLE_P_L";"Alk_4.5";"mmol/l";1
"ALK40";"mmol/l";"Alk_4.0";"mmol/l";1
"ALK42";"mmol/l";"Alk_4.2";"mmol/l";1
"ALK45";"mmol/l";"Alk_4.5";"mmol/l";1
"ALK45";"mmol/l";"Alk_4.5";"mmol/l";1
"ALK45";"mmol/l";"Alk_4.5";"mmol/l";1
"Al/L";"µg/l";"Al/L";"µg/l";1
"Al/MS";"µg/l";"Al";"µg/l";1
"ALP";"µg/l";"Al-p";"µg/l";1
"alphaTBCO";"pg/L";"alphaTBCO";"pg/L";1
"alphaTBECH";"pg/L";"alphaTBECH";"pg/L";1
"AL-r";"µg/L";"Al/R";"µg/l";1
"ALR";"µg/l";"Al/R";"µg/l";1
"Al/R";"µg/l";"Al/R";"µg/l";1
"Aluminium";"UG_P_L";"Al";"µg/l";1
"Aluminium";"µg Al/l";"Al";"µg/l";1
"Aluminium";"MG_P_L";"Al";"µg/l";1000
"Aluminium";"UG_P_L";"Al";"µg/l";1
"Aluminium";"UG_P_L";"Al";"µg/l";1
"Aluminium";"UG_P_L";"Al";"µg/l";1
"Aluminium";"UG_P_L";"Al";"µg/l";1
"Aluminium";"UG_P_L";"Al";"µg/l";1
"Aluminium";"MG_P_L";"Al";"µg/l";1000
"Aluminium";"UG_P_L";"Al";"µg/l";1
"Aluminium, ikke labil";"UG_P_L";"Al/IL";"µg/l";1
"Aluminium, ikke labil";"UG_P_L";"Al/IL";"µg/l";1
"Aluminium, ikke labil";"UG_P_L";"Al/IL";"µg/l";1
"Aluminium, ikke labil";"UG_P_L";"Al/IL";"µg/l";1
"Aluminium, ikke labil";"UG_P_L";"Al/IL";"µg/l";1
"Aluminium, ikke labil";"UG_P_L";"Al/IL";"µg/l";1
"Aluminium, ikke labilt";"UG_P_L";"Al/IL";"µg/l";1
"Aluminium, reaktivt";"UG_P_L";"Al/R";"µg/l";1
"Aluminium, reaktivt";"UG_P_L";"Al/R";"µg/l";1
"Aluminium, reaktivt";"UG_P_L";"Al/R";"µg/l";1
"Aluminium, reaktivt";"UG_P_L";"Al/R";"µg/l";1
"Aluminium, reaktivt";"UG_P_L";"Al/R";"µg/l";1
"Aluminium, reaktivt";"UG_P_L";"Al/R";"µg/l";1
"Aluminium-F";"UG_P_L";"Al-filt";"µg/l";1
"Aluminium-F";"UG_P_L";"Al-filt";"µg/l";1
"Ammonium";"UG_N_L";"NH4-N";"µg/l";1
"Ammonium";"UG_P_L";"NH4-N";"µg/l";1
"Ammonium";"UG_P_L";"NH4-N";"µg/l";1
"Ammonium";"UG_N_L";"NH4-N";"µg/l";1
"Ammonium";"UG_N_L";"NH4-N";"µg/l";1
"Ammonium";"UG_P_L";"NH4-N";"µg/l";1
"Ammonium";"UG_P_L";"NH4-N";"µg/l";1
"Ammonium";"UG_P_L";"NH4-N";"µg/l";1
"Ammonium";"UG_N_L";"NH4-N";"µg/l";1
"Ammonium";"UG_P_L";"NH4-N";"µg/l";1
"Ammonium";"UG_N_L";"NH4-N";"µg/l";1
"Ammonium";"UG_P_L";"NH4-N";"µg/l";1
"Ammonium";"UG_N_L";"NH4-N";"µg/l";1
"Ammonium";"UG_N_L";"NH4-N";"µg/l";1
"Ammonium";"UG_P_L";"NH4-N";"µg/l";1
"Ammonium";"UG_N_L";"NH4-N";"µg/l";1
"Ammonium (NH4)";"µ mol/l";"NH4-N";"µg/l";14,0067
"Ammonium (NH4)";"mg/l";"NH4";"µg/l";1000
"Ammonium-F";"UG_N_L";"NH4 filt.";"µg/l";1
"Anatoksiner";"µg/l";"Anatoksiner";"µg/l";1
"ANC";"µekv/l";"ANC";"µEkv/L";1
"ANT";"ng/L";"Antracen";"µg/l";0,001
"Anthracene";"ng/L";"Antracen";"µg/l";0,001
"antiDP";"pg/L";"antiDP";"pg/L";1
"Antimon";"UG_P_L";"Sb";"µg/l";1
"Antimon";"µg Sb/l";"Sb";"µg/l";1
"Antimon";"UG_P_L";"Sb";"µg/l";1
"Antimon";"µg Sb/l";"Sb-filt";"µg/l";1
"Antimon";"UG_P_L";"Sb";"µg/l";1
"Antimon";"UG_P_L";"Sb";"µg/l";1
"Antimon-F";"UG_P_L";"Sb-filt";"µg/l";1
"Antimon-F";"UG_P_L";"Sb-filt";"µg/l";1
"Antimon-F";"UG_P_L";"Sb-filt";"µg/l";1
"Antracen";"UG_P_L";"Antracen";"µg/l";1
"Antracen";"ng/L";"Antracen";"µg/l";0,001
"Antracen";"UG_P_L";"Antracen";"µg/l";1
"Antracen";"UG_P_L";"Antracen";"µg/l";1
"Antracen";"ng/l";"Antracen";"µg/l";0,001
"Antracen";"µg/l";"Antracen";"µg/l";1
"Antracen";"NG_P_L";"Antracen";"µg/l";0,001
"ANT-V";"ng/l";"Antracen";"µg/l";0,001
"AOX";"mg/l";"AOX";"ug/l";1000
"AOX";"mg/l";"AOX";"ug/l";1000
"AOX";"ug/l";"AOX";"ug/l";1
"AOX";"µg/l";"AOX";"ug/l";1
"AOX";"ug/l";"AOX";"ug/l";1
"ARSEN";"µg/l";"As";"µg/l";1
"Arsen";"µg/l";"As";"µg/l";1
"Arsen";"µg As/l";"As";"µg/l";1
"Arsen";"MG_P_KG";"As";"µg/l";1
"Arsen";"UG_P_L";"As";"µg/l";1
"Arsen";"UG_P_L";"As";"µg/l";1
"Arsen";"UG_P_L";"As";"µg/l";1
"Arsen";"UG_P_L";"As";"µg/l";1
"Arsen";"UG_P_L";"As";"µg/l";1
"Arsen";"UG_P_L";"As";"µg/l";1
"Arsen-F";"UG_P_L";"As-filt";"µg/l";1
"Arsen-F";"UG_P_L";"As-filt";"µg/l";1
"Arsen-F";"UG_P_L";"As-filt";"µg/l";1
"Arsen-F";"UG_P_L";"As-filt";"µg/l";1
"Arsenic";"µg/l";"As";"µg/l";1
"Arsenic";"µg/l";"Arsenic";"µg/l";1
"Arsenic (filtered)";"µg/l";"As-filt";"µg/l";1
"Arsenik";"µg/l";"As";"µg/l";1
"As";"µg/l";"As";"µg/l";1
"As";"mg/l";"As";"µg/l";1000
"As";"mg/l";"As";"µg/l";1000
"As";"mg/l";"As";"µg/l";1000
"As";"µg/l";"As";"µg/l";1
"As";"ug/l";"As";"µg/l";1
"As";"µg/L";"As";"µg/l";1
"As";"ng/ml";"As";"µg/l";1
"As";"ug/l";"As";"µg/l";1
"As";"µg/l";"As";"µg/l";1
"As";"µg/l";"As";"µg/l";1
"As";"µg/L";"As";"µg/l";1
"As";"µg/L";"As";"µg/l";1
"As-filt";"µg/l";"As-filt";"µg/l";1
"As/HR-ICPM";"µg/l";"As";"µg/l";1
"AS-ICP";"µg/l";"As";"µg/l";1
"AS-ICP";"µg/l";"As";"µg/l";1
"As/ICP";"mg/l";"As";"µg/l";1000
"As/ICP-Sj";"mg/l";"As";"µg/l";1000
"Asiditet";"mmol/l";"Asiditet";"mmol/l";1
"Asiditet";"ml/l";"Asiditet";"ml/l";1
"As/MS";"µg/l";"As";"µg/l";1
"as_total";"mg/l";"Total As";"mg/l";1
"AsX";"µg/l";"As";"µg/l";1
"Au/HR-ICPM";"µg/l";"Au";"µg/l";1
"AY380";"1/m";"AY380";"1/m";1
"AY380";"1/m";"AY380";"1/m";1
"B";"µg/l";"B";"µg/l";1
"Ba";"mg/l";"Ba";"µg/l";1000
"BAA";"ng/L";"Benso(a)antracen";"µg/l";0,001
"BAA-V";"ng/l";"Benso(a)antracen";"µg/l";0,001
"Backscattering870nm";"(m-1sr-1)   [1/(meter*steradianer)]";"Backscattering 870nm";"1/m*steradianer";1
"Ba/HR-ICPM";"µg/l";"Ba";"µg/l";1
"BA-ICP";"µg/l";"Ba";"µg/l";1
"Ba/MS";"µg/l";"Ba";"µg/l";1
"BAP";"ng/L";"Benso(a)pyren";"µg/l";0,001
"BAP-V";"ng/l";"Benso(a)pyren";"µg/l";0,001
"Barium";"µg/l";"Ba";"µg/l";1
"Barium";"µg/l";"Ba";"µg/l";1
"Barium";"UG_P_L";"Ba";"µg/l";1
"Barium";"UG_P_L";"Ba";"µg/l";1
"Barium";"UG_P_L";"Ba";"µg/l";1
"Barium-F";"UG_P_L";"Ba-filt";"µg/l";1
"BBJF";"ng/L";"Benzo(b+j)fluoranten";"ng/l";1
"BBJF-V";"ng/l";"Benzo(b+j)fluoranten";"ng/l";1
"BBP-V";"µg/l";"Butyl benzyl ftalat";"ng/l";1
"BDE-100";"pg/L";"2 2' 4 4' 6-pentabromodiphenyl ether (BD(E)100)";"pg/L";1
"BDE-100";"ng/L";"2 2' 4 4' 6-pentabromodiphenyl ether (BD(E)100)";"pg/L";1000
"BDE-100";"pg/L";"BDE-100";"pg/L";1
"BDE-100";"ng/L";"2 2' 4 4' 6-pentabromodiphenyl ether (BD(E)100)";"pg/L";1000
"BDE100";"NG_P_L";"BDE-100";"pg/L";1000
"bde-100";"ng/L";"BDE-100";"pg/L";1000
"BDE-119";"ng/L";"2 3' 4 4' 6-pentabromodiphenyl ether (BD(E)119)";"pg/L";1000
"BDE-119";"ng/L";"2 3' 4 4' 6-pentabromodiphenyl ether (BD(E)119)";"pg/L";1000
"BDE-119";"pg/L";"2 3' 4 4' 6-pentabromodiphenyl ether (BD(E)119)";"pg/L";1
"BDE-126";"ng/L";"3 3' 4 4' 5-pentabromodiphenyl ether (BD(E)126)";"pg/L";1000
"BDE-126";"pg/L";"3 3' 4 4' 5-pentabromodiphenyl ether (BD(E)126)";"pg/L";1
"BDE-138";"ng/L";"2 2' 3 4 4' 5'-hexabromodiphenyl ether (BD(E)138)";"pg/L";1000
"BDE-138";"ng/L";"3 3' 4 4' 5-pentabromodiphenyl ether (BD(E)126)";"pg/L";1000
"BDE-138";"pg/L";"2 2' 3 4 4' 5'-hexabromodiphenyl ether (BD(E)138)";"pg/L";1
"BDE-153";"pg/L";"BDE-153";"pg/L";1
"BDE-153";"pg/L";"2 2' 4 4' 5 5'-hexabromodiphenyl ether (BD(E)153)";"pg/L";1
"BDE-153";"ng/L";"2 2' 4 4' 5 5'-hexabromodiphenyl ether (BD(E)153)";"pg/L";1000
"BDE153";"NG_P_L";"BDE-153";"pg/L";1000
"bde-153";"ng/L";"BDE-153";"pg/L";1000
"BDE-154";"pg/L";"BDE-154";"pg/L";1
"BDE-154";"pg/L";"2 2' 4 4' 5 6'-hexabromodiphenyl ether (BD(E)154)";"pg/L";1
"BDE-154";"ng/L";"2 2' 4 4' 5 6'-hexabromodiphenyl ether (BD(E)154)";"pg/L";1000
"BDE154";"NG_P_L";"BDE-154";"pg/L";1000
"bde-154";"ng/L";"BDE-154";"pg/L";1000
"BDE-156";"pg/L";"1,2,3,4-tetrabromo-5-(3,4-dibromophenoxy)benzene";"pg/L";1
"BDE-156";"ng/L";"1,2,3,4-tetrabromo-5-(3,4-dibromophenoxy)benzene";"pg/L";1000
"BDE-17";"ng/L";"2 2' 4-tribromodiphenyl ether (BDE17)";"pg/l";1000
"BDE-17";"pg/L";"2 2' 4-tribromodiphenyl ether (BDE17)";"pg/l";1
"BDE-183";"ng/L";"1,2,3,5-tetrabromo-4-(2,4,5-tribromophenoxy)benzene";"pg/l";1000
"BDE-183";"pg/L";"1,2,3,5-tetrabromo-4-(2,4,5-tribromophenoxy)benzene";"pg/l";1
"BDE-184";"ng/L";"1,2,3,5-Tetrabromo-4-(2,4,6-tribromophenoxy)benzene";"pg/l";1000
"BDE-184";"pg/L";"1,2,3,5-Tetrabromo-4-(2,4,6-tribromophenoxy)benzene";"pg/l";1
"BDE-191";"pg/L";"1,2,3,5-Tetrabromo-4-(3,4,5-tribromophenoxy)benzene";"pg/l";1
"BDE-191";"ng/L";"1,2,3,5-Tetrabromo-4-(3,4,5-tribromophenoxy)benzene";"pg/l";1000
"BDE-196";"pg/L";"1,2,3,4-tetrabromo-5-(2,3,4,5-tetrabromophenoxy)benzene";"pg/l";1
"BDE-196";"ng/L";"1,2,3,4-tetrabromo-5-(2,3,4,5-tetrabromophenoxy)benzene";"pg/l";1000
"BDE-197";"pg/L";"(2R)-1-butyl-N-(2,6-dimethylphenyl)piperidine-2-carboxamide";"pg/l";1
"BDE-197";"ng/L";"(2R)-1-butyl-N-(2,6-dimethylphenyl)piperidine-2-carboxamide";"pg/l";1000
"BDE-202";"pg/L";"BDE-202";"pg/l";1
"BDE-202";"ng/L";"BDE-202";"pg/l";1000
"BDE-206";"pg/L";"1,2,3,4,5-pentabromo-6-(2,3,4,5-tetrabromophenoxy)benzene";"pg/l";1
"BDE-206";"ng/L";"1,2,3,4,5-pentabromo-6-(2,3,4,5-tetrabromophenoxy)benzene";"pg/l";1000
"BDE-207";"ng/L";"Benzene  pentabromo(2 3 4 6-tetrabromophenoxy)-";"pg/l";1000
"BDE-207";"pg/L";"Benzene  pentabromo(2 3 4 6-tetrabromophenoxy)-";"pg/l";1
"BDE-209";"ng/L";"1,2,3,4,5-pentabromo-6-(2,3,4,5,6-pentabromophenoxy)benzene";"pg/l";1000
"BDE-209";"pg/L";"1,2,3,4,5-pentabromo-6-(2,3,4,5,6-pentabromophenoxy)benzene";"pg/l";1
"BDE-28";"pg/L";"2,4-dibromo-1-(4-bromophenoxy)benzene";"pg/l";1
"BDE-28";"ng/L";"2,4-dibromo-1-(4-bromophenoxy)benzene";"pg/l";1000
"BDE28";"NG_P_L";"BDE-28";"pg/L";1000
"bde-28";"ng/L";"BDE-28";"pg/L";1000
"BDE-47";"pg/L";"BDE-47";"pg/L";1
"BDE-47";"ng/L";"2,4-dibromo-1-(2,4-dibromophenoxy)benzene";"pg/l";1000
"BDE-47";"pg/L";"2,4-dibromo-1-(2,4-dibromophenoxy)benzene";"pg/l";1
"BDE47";"NG_P_L";"BDE-47";"pg/L";1000
"bde-47";"ng/L";"BDE-47";"pg/L";1000
"BDE-49";"pg/L";"1,4-dibromo-2-(2,4-dibromophenoxy)benzene";"pg/l";1
"BDE-49";"ng/L";"1,4-dibromo-2-(2,4-dibromophenoxy)benzene";"pg/l";1000
"BDE-66";"pg/L";"1,2-dibromo-4-(2,4-dibromophenoxy)benzene";"pg/l";1
"BDE-66";"ng/L";"1,2-dibromo-4-(2,4-dibromophenoxy)benzene";"pg/l";1000
"BDE-71";"ng/L";"1,2-dibromo-4-(2,6-dibromophenoxy)benzene";"pg/l";1000
"BDE-71";"pg/L";"1,2-dibromo-4-(2,6-dibromophenoxy)benzene";"pg/l";1
"BDE-77";"ng/L";"1,2-dibromo-4-(3,4-dibromophenoxy)benzene";"pg/l";1000
"BDE-77";"pg/L";"1,2-dibromo-4-(3,4-dibromophenoxy)benzene";"pg/l";1
"BDE-85";"pg/L";"1,2,3-tribromo-4-(2,4-dibromophenoxy)benzene";"pg/l";1
"BDE-85";"ng/L";"1,2,3-tribromo-4-(2,4-dibromophenoxy)benzene";"pg/l";1000
"BDE-99";"pg/L";"BDE-99";"pg/L";1
"BDE-99";"pg/L";"1,2,4-tribromo-5-(2,4-dibromophenoxy)benzene";"pg/l";1
"BDE-99";"ng/L";"1,2,4-tribromo-5-(2,4-dibromophenoxy)benzene";"pg/l";1000
"BDE99";"NG_P_L";"BDE-99";"pg/L";1000
"bde-99";"ng/L";"BDE-99";"pg/L";1000
"BdPhP";"ng/L";"BDPHP";"ng/L";1
"BdPhP";"ng/L";"BDPHP";"ng/L";1
"Be/HR-ICPM";"µg/l";"Be";"µg/l";1
"BEHTBP";"pg/L";"BEHTBP";"pg/L";1
"BE-ICP";"µg/l";"Be";"µg/l";1
"Be/MS";"µg/l";"Be";"µg/l";1
"Benso(a)antracen^";"µg/l";"Benso(a)antracen";"µg/l";1
"Benso(a)pyren^";"µg/l";"Benso(a)pyren";"µg/l";1
"Benso(b)fluoranten^";"µg/l";"Benso(b)fluoranten";"µg/l";1
"Benso(ghi)perylen";"µg/l";"Benso(ghi)perylen";"µg/l";1
"Benso(k)fluoranten^";"µg/l";"Benso(k)fluoranten";"µg/l";1
"Benz(a)anthracene";"ng/L";"Benso(a)antracen";"µg/l";0,001
"Benzo(a)antracen";"ng/L";"Benzo[a]antracen";"ng/l";1
"Benzo[a]antracen";"NG_P_L";"Benzo[a]antracen";"ng/l";1
"Benzo[a]antracen";"UG_P_L";"Benso(a)antracen";"µg/l";1
"Benzo[a]antracen";"UG_P_L";"Benso(a)antracen";"µg/l";1
"Benzo[a]antracen";"UG_P_L";"Benso(a)antracen";"µg/l";1
"Benzo(a)pyren";"ng/L";"Benzo[a]pyren";"ng/l";1
"Benzo[a]pyren";"UG_P_L";"Benso(a)pyren";"µg/l";1
"Benzo[a]pyren";"UG_P_L";"Benso(a)pyren";"µg/l";1
"Benzo[a]pyren";"NG_P_L";"Benzo[a]pyren";"ng/l";1
"Benzo[a]pyren";"UG_P_L";"Benso(a)pyren";"µg/l";1
"Benzo(a)pyrene";"ng/L";"Benso(a)pyren";"µg/l";0,001
"Benzo[b]fluoranten";"UG_P_L";"Benso(b)fluoranten";"µg/l";1
"Benzo[b]fluoranten";"UG_P_L";"Benso(b)fluoranten";"µg/l";1
"Benzo(b,j)fluoranten";"ng/L";"benzophenone-3";"ng/L";1
"Benzo[b,j]fluoranten";"NG_P_L";"Benzo(b+j)fluoranten";"ng/l";1
"Benzo[b,j]fluoranten";"UG_P_L";"Benzo(b+j)fluoranten";"ng/l";1000
"Benzo(b,J)fluoranthene";"ng/L";"Benso(b)fluoranten";"µg/l";0,001
"Benzo(e )pyrene";"ng/L";"Benso(e)pyren";"µg/l";0,001
"Benzo(ghi)perylen";"ng/L";"Benzo[ghi]perylen";"ng/l";1
"Benzo[g,h,i]perylen";"UG_P_L";"Benso(ghi)perylen";"µg/l";1
"Benzo[g,h,i]perylen";"UG_P_L";"Benso(ghi)perylen";"µg/l";1
"Benzo[g,h,i]perylen";"UG_P_L";"Benso(ghi)perylen";"µg/l";1
"Benzo[ghi]perylen";"NG_P_L";"Benzo[ghi]perylen";"ng/l";1
"Benzo(ghi)perylene";"ng/L";"Benso(ghi)perylen";"µg/l";0,001
"Benzo(k)fluoranten";"ng/L";"Benzo[k]fluoranten";"ng/l";1
"Benzo[k]fluoranten";"UG_P_L";"Benso(k)fluoranten";"µg/l";1
"Benzo[k]fluoranten";"UG_P_L";"Benso(k)fluoranten";"µg/l";1
"Benzo[k]fluoranten";"UG_P_L";"Benso(k)fluoranten";"µg/l";1
"Benzo[k]fluoranten";"NG_P_L";"Benzo[k]fluoranten";"ng/l";1
"Benzo(k)fluoranthene";"ng/L";"Benso(k)fluoranten";"µg/l";0,001
"Benzophenone-3";"NG_P_L";"benzophenone-3";"ng/L";1
"BEP";"ng/L";"Benso(e)pyren";"µg/l";0,001
"BEP-V";"ng/l";"Benso(e)pyren";"µg/l";0,001
"Beryllium";"UG_P_L";"Be";"µg/l";1
"Beryllium";"UG_P_L";"Be";"µg/l";1
"Beryllium";"UG_P_L";"Be";"µg/l";1
"Beryllium-F";"UG_P_L";"Be-filt";"µg/l";1
"beta-HBCD";"NG_P_L";"b-HBCD";"ng/L";1
"BFA";"µg/l N";"BFA";"µg/l N";1
"BFA";"mg/l";"BFA";"µg/l N";1000
"BFA";"µg/l N";"BFA";"µg/l N";1
"BFAF";"µg/l N";"BFA_f";"µg/l N";1
"BGA-PC";"µg/L";"Phycocyanin";"µg/l";1
"BGHIP";"ng/L";"Benso(ghi)perylen";"µg/l";0,001
"b-HBCD";"ng/L";"b-HBCD";"ng/L";1
"B/HR-ICPM";"µg/l";"B";"µg/l";1
"Bi";"µg/l";"Bi";"µg/l";1
"Bi";"µg/L";"Bi";"µg/l";1
"B-ICP";"µg/l";"B";"µg/l";1
"BI-ICP";"µg/l";"Bi";"µg/l";1
"Bi/MS";"µg/l";"Bi";"µg/l";1
"Bisphenol A";"ng/L";"Bisfenol A";"ng/L";1
"Bisphenol AP";"ng/L";"Bisphenol AP";"ng/l";1
"Bisphenol AP";"ng/L";"Bisphenol AP";"ng/l";1
"Bisphenol B";"ng/L";"Bisphenol B";"ng/l";1
"Bisphenol B";"ng/L";"Bisphenol B";"ng/l";1
"Bisphenol E";"ng/L";"Bisphenol E";"ng/l";1
"Bisphenol E";"ng/L";"Bisphenol E";"ng/l";1
"Bisphenol FL";"ng/L";"Bisphenol FL";"ng/L";1
"Bisphenol G";"ng/L";"Bisphenol G";"ng/l";1
"Bisphenol G";"ng/L";"Bisphenol G";"ng/l";1
"Bisphenol M";"ng/L";"Bisphenol M";"ng/l";1
"Bisphenol M";"ng/L";"Bisphenol M";"ng/l";1
"Bisphenol P";"ng/L";"Bisphenol P";"ng/l";1
"Bisphenol P";"ng/L";"Bisphenol P";"ng/l";1
"Bisphenol S";"ng/L";"Bisphenol S";"ng/l";1
"Bisphenol S";"ng/L";"Bisphenol S";"ng/l";1
"Bisphenol TMC";"ng/L";"Bisphenol TMC";"ng/l";1
"Bisphenol TMC";"ng/L";"Bisphenol TMC";"ng/l";1
"Bisphenol Z";"ng/L";"Bisphenol Z";"ng/l";1
"Bisphenol Z";"ng/L";"Bisphenol Z";"ng/l";1
"BKF";"ng/L";"Benso(k)fluoranten";"µg/l";0,001
"BKF-V";"ng/l";"Benso(k)fluoranten";"µg/l";0,001
"Bly";"UG_P_L";"Pb";"µg/L";1
"Bly";"UG_P_L";"Pb";"µg/L";1
"Bly";"UG_P_L";"Pb";"µg/L";1
"Bly";"µg/l";"Pb";"µg/L";1
"Bly";"UG_P_L";"Pb";"µg/L";1
"Bly";"UG_P_L";"Pb";"µg/L";1
"Bly";"UG_P_L";"Pb";"µg/L";1
"Bly";"UG_P_L";"Pb";"µg/L";1
"Bly";"µg Pb/l";"Pb";"µg/L";1
"Bly";"µg Pb/l";"Pb-filt";"µg/l";1
"Bly";"UG_P_L";"Pb";"µg/L";1
"Bly";"UG_P_L";"Pb";"µg/L";1
"Bly";"UG_P_L";"Pb";"µg/L";1
"Bly";"UG_P_L";"Pb";"µg/L";1
"Bly";"µg Pb/l";"Pb";"mg/l";0,001
"Bly";"NONE";"Pb";"µg/L";1
"Bly-F";"UG_P_L";"Pb-filt";"µg/l";1
"Bly-F";"UG_P_L";"Pb-filt";"µg/l";1
"Bly-F";"UG_P_L";"Pb-filt";"µg/l";1
"Blågrønnalger";"mm3/m3";"Blågrønnalger";"mm3/m3";1
"B/MS";"µg/l";"B";"µg/l";1
"BOD";"mg/l";"BOD";"mg/l";1
"BOD";"mg/l O2";"BOD";"mg/l O2";1
"BOD5";"mg/l";"BOD5";"mg/l";1
"BOD5";"mg O/l";"BOD";"mg/l O2";1
"bod5";"mg/l";"BOD5";"mg/l";1
"BOF21";"mg/l";"BOD21";"mg/l O2";1
"BOF7";"mg/l";"BOD7";"mg/l O2";1
"Bor";"UG_P_L";"B";"µg/l";1
"Bor";"UG_P_L";"B";"µg/l";1
"Bor";"UG_P_L";"B";"µg/l";1
"Bor-F";"UG_P_L";"B-filt";"µg/l";1
"BPA";"ng/L";"Bisfenol A";"ng/L";1
"BP-AF";"ng/L";"BP-AF";"ng/L";1
"BP-AP";"ng/L";"BP-AP";"ng/L";1
"BPB";"ng/L";"BPB";"ng/L";1
"BPE";"ng/L";"BPE";"ng/L";1
"BP-FL";"ng/L";"BP-FL";"ng/L";1
"BPM";"ng/L";"BPM";"ng/L";1
"BPZ";"ng/L";"BPZ";"ng/L";1
