"lw_meth";"lw_unit";"am_par";"am_unit";"lw2am_fac"
"Acenaften";"UG_P_L";"Acenaften";"ng/L";1000
"Acenaften";"µg/l";"Acenaften";"ng/L";1000
"Acenaften";"UG_P_L";"Acenaften";"ng/L";1000
"Acenaften";"NG_P_L";"Acenaften";"ng/L";1
"Acenaften";"ng/l";"Acenaften";"ng/L";1
"Acenaften";"UG_P_L";"Acenaften";"ng/L";1000
"Acenaften";"ng/L";"Acenaften";"ng/L";1
"Acenaftylen";"ng/L";"Acenaftylen";"ng/L";1
"Acenaftylen";"NG_P_L";"Acenaftylen";"ng/L";1
"Acenaftylen";"UG_P_L";"Acenaftylen";"ng/L";1000
"Acenaftylen";"µg/l";"Acenaftylen";"ng/L";1000
"Acenaftylen";"ng/l";"Acenaftylen";"ng/L";1
"Acenaftylen";"UG_P_L";"Acenaftylen";"ng/L";1000
"Acenaftylen";"UG_P_L";"Acenaftylen";"ng/L";1000
"Acenaphthene";"ng/L";"Acenaften";"ng/L";1
"Acenaphthylene";"ng/L";"Acenaftylen";"ng/L";1
"ACNE";"ng/L";"Acenaften";"ng/L";1
"ACNLE";"ng/L";"Acenaftylen";"ng/L";1
"ACNLE-V";"ng/l";"Acenaftylen";"ng/L";1
"Ag";"µg/L";"Ag";"µg/L";1
"Ag";"ng/ml";"Ag";"µg/L";1
"Ag";"µg/L";"Ag";"µg/L";1
"Ag";"µg/l";"Ag";"µg/L";1
"Ag/HR-ICPM";"µg/l";"Ag";"µg/L";1
"AG-ICP";"µg/l";"Ag";"µg/L";1
"Ag/MS";"µg/l";"Ag";"µg/L";1
"a-HBCD";"ng/L";"a-HBCD";"ng/L";1
"a-HCH";"ng/L";"HCHA";"ng/l";1
"Akk.dødelighet";"";"AkkMort";"";1
"AL";"µg/l";"Al";"µg/l";1
"AL";"µg/l";"Al";"µg/l";1
"AL";"µg/l Al";"Al";"µg/l";1
"Al";"mg/l";"Al";"µg/l";1000
"Al";"mg/l";"Al";"µg/l";1000
"Al";"µg/l";"Al";"µg/l";1
"Al";"µg/l";"Al";"µg/l";1
"Al";"µg/l";"Al";"µg/l";1
"Al";"mg/l";"Al";"µg/l";1000
"Al";"µg/l";"Al";"µg/l";1
"Al/A";"µg/l";"Al";"µg/l";1
"alfa-HBCD";"NG_P_L";"a-HBCD";"ng/L";1
"Al-filt";"µg/l";"Al-filt";"µg/l";1
"ALGVOL";"mm3/m3";"ALGVOL";"mm3/m3";1
"Al/HR-ICPM";"µg/l";"Al";"µg/l";1
"Al-i";"µg/L";"Al/IL";"µg/l";1
"Al/ICP";"mg/l";"Al";"µg/l";1000
"ALIL";"µg/l";"Al/IL";"µg/l";1
"Al/Il";"µg/l";"Al/IL";"µg/l";1
"ALK";"mmol/l";"Alk";"mmol/l";1
"ALK";"mmol/l";"Alk_4.5";"mmol/l";1
"ALK";"mmol/l";"Alk";"mmol/l";1
"ALK";"mmol/l";"Alk";"mmol/l";1
"ALK";"mmol/l";"Alk";"mmol/l";1
"ALK#";"mmol/l";"Alk";"mmol/l";1
"Alk";"mmol/l";"Alk";"mmol/l";1
"Alk";"mmol/l";"Alk";"mmol/l";1
"Alk";"mmol/l";"Alk";"mmol/l";1
"Alk";"mmol/l";"Alk";"mmol/l";1
"Alkalinity";"mmol/l";"Alkalinity";"mmol/l";1
"Alkalitet";"mmol/l";"Alk-filt";"mmol/l";1
"Alkalitet";"mmol/l";"Alk";"mmol/l";1
"Alkalitet";"MMOLE_P_L";"Alk";"mmol/l";1
"Alkalitet";"MMOLE_P_L";"Alk";"mmol/l";1
"Alkalitet";"MMOLE_P_L";"Alk_4.5";"mmol/l";1
"Alkalitet";"mmol/l";"Alk";"mmol/l";1
"Alkalitet";"MMOLE_P_L";"Alk_4.5";"mmol/l";1
"Alkalitet";"mmol/l";"Alk";"mmol/l";1
"Alkalitet";"mmol/l";"Alk";"mmol/l";1
"Alkalitet";"MMOLE_P_L";"Alk";"mmol/l";1
"Alkalitet";"mmol/l";"Alk";"mmol/l";1
